ac_number,candidate,party,votes,turnout,party_std,constituency,district,region,reserved
8,D. JEYAGANESH,Naam Indiar Party,67,74.21,Naam Indiar Party,Ambattur,Tiruvallur,Chennai Metro,GEN
9,M.L.VIJAYPRABHU,TVK,190462,78.43,TVK,Madavaram,Tiruvallur,Chennai Metro,GEN
9,S.SUDHARSANAM,DMK,95477,78.43,DMK,Madavaram,Tiruvallur,Chennai Metro,GEN
9,MADHAVARAM V.MOORTHY,AIADMK,59290,78.43,AIADMK,Madavaram,Tiruvallur,Chennai Metro,GEN
9,E.KRITHIKA,NTK,12637,78.43,NTK,Madavaram,Tiruvallur,Chennai Metro,GEN
9,NOTA,NOTA,1394,78.43,NOTA,Madavaram,Tiruvallur,Chennai Metro,GEN
9,I.RAFFIK,Naadaalum Makkal Katchi,676,78.43,Naadaalum Makkal Katchi,Madavaram,Tiruvallur,Chennai Metro,GEN
9,N.JANAKIRAMAN,Bahujan Samaj Party,537,78.43,BSP,Madavaram,Tiruvallur,Chennai Metro,GEN
9,R.KARTHIKEYAN,Tamizhaga Vaazhvurimai Katchi,232,78.43,Tamizhaga Vaazhvurimai Katchi,Madavaram,Tiruvallur,Chennai Metro,GEN
9,S.SIVAKUMAR,IND,198,78.43,IND,Madavaram,Tiruvallur,Chennai Metro,GEN
9,G.PRABU,IND,191,78.43,IND,Madavaram,Tiruvallur,Chennai Metro,GEN
9,V.MURTHY,IND,188,78.43,IND,Madavaram,Tiruvallur,Chennai Metro,GEN
9,A.NAGARAJAN,IND,177,78.43,IND,Madavaram,Tiruvallur,Chennai Metro,GEN
9,SUDARSANAM,IND,157,78.43,IND,Madavaram,Tiruvallur,Chennai Metro,GEN
9,C.MOORTHY,IND,154,78.43,IND,Madavaram,Tiruvallur,Chennai Metro,GEN
9,A.PONNALAGAN,IND,129,78.43,IND,Madavaram,Tiruvallur,Chennai Metro,GEN
9,R.S.BALAJI,IND,99,78.43,IND,Madavaram,Tiruvallur,Chennai Metro,GEN
