ac_number,constituency,party_2021,votes_2021,region,reserved,turnout_2021,party_2026,votes_2026,turnout_2026,is_flip
182,Alangudi,DMK,87935,Delta,GEN,78.47,DMK,64929,90.93,False
183,Arantangi,INC,81835,Delta,GEN,70.21,TVK,73244,82.11,True
184,Karaikudi,INC,75954,South,GEN,66.23,TVK,101358,78.3,True
185,Tiruppattur,DMK,103682,South,GEN,71.98,TVK,83375,84.11,True
186,Sivaganga,AIADMK,82153,South,GEN,66.29,TVK,73737,81.29,True
187,Manamadurai,DMK,89364,South,SC,72.05,TVK,69971,86.16,True
188,Melur,AIADMK,83344,South,GEN,74.23,INC,60080,88.5,True
189,Madurai East,DMK,122729,South,GEN,71.34,TVK,118777,80.58,True
190,Sholavandan,DMK,84240,South,SC,79.49,TVK,63907,92.61,True
191,Madurai North,DMK,73010,South,GEN,63.6,TVK,72853,73.18,True
192,Madurai South,DMK,62812,South,GEN,63.8,TVK,62415,74.84,True
193,Madurai Central,DMK,73205,South,GEN,61.03,TVK,63414,75.62,True
194,Madurai West,AIADMK,83883,South,GEN,65.12,TVK,88250,79.38,True
195,Thiruparankundram,AIADMK,103683,South,GEN,72.73,TVK,114316,86.24,True
196,Thirumangalam,AIADMK,100338,South,GEN,78.13,DMK,88291,91.27,True
197,Usilampatti,AIADMK,71255,South,GEN,73.82,TVK,65743,86.37,True
198,Andipatti,DMK,93541,South,GEN,74.85,DMK,74324,87.61,False
199,Periyakulam,DMK,92251,South,SC,69.94,TVK,85656,83.66,True
200,Bodinayakanur,AIADMK,100050,South,GEN,76.3,DMK,85206,86.18,True
201,Cumbum,DMK,104800,South,GEN,69.51,TVK,85394,82.05,True
202,Rajapalayam,DMK,74158,South,GEN,73.89,TVK,65548,84.85,True
203,Srivilliputhur,AIADMK,70475,South,SC,73.14,TVK,65653,84.67,True
204,Sattur,DMK,74174,South,GEN,75.17,DMK,62060,86.96,False
205,Sivakasi,INC,78947,South,GEN,70.16,TVK,68709,82.33,True
206,Virudhunagar,DMK,73297,South,GEN,71.27,TVK,63653,82.49,True
207,Aruppukottai,DMK,91040,South,GEN,75.6,DMK,65104,84.22,False
208,Tiruchuli,DMK,102225,South,GEN,77.46,DMK,75085,89.68,False
209,Paramakudi,DMK,84864,South,SC,70.59,DMK,59161,81.98,False
210,Tiruvadanai,INC,79364,South,GEN,68.72,TVK,69551,80.33,True
211,Ramanathapuram,DMK,111082,South,GEN,68.81,DMK,89137,81.92,False
212,Mudukulathur,DMK,101901,South,GEN,70.29,DMK,68003,82.69,False
213,Vilathikulam,DMK,90348,South,GEN,76.52,DMK,58395,88.78,False
214,Thoothukkudi,DMK,92314,South,GEN,65.07,TVK,100536,76.92,True
215,Tiruchendur,DMK,88274,South,GEN,70.04,DMK,72723,82.05,False
216,Srivaikuntam,INC,76843,South,GEN,72.34,TVK,58814,82.85,True
217,Ottapidaram,DMK,73110,South,SC,69.82,TVK,81625,82.09,True
218,Kovilpatti,AIADMK,68556,South,GEN,67.43,DMK,61643,78.13,True
219,Sankarankovil,DMK,71347,South,SC,71.48,AIADMK,64865,82.68,True
220,Vasudevanallur,DMK,68730,South,SC,71.87,DMK,63045,81.94,False
221,Kadayanallur,AIADMK,88474,South,GEN,70.35,DMK,79832,83.19,True
222,Tenkasi,INC,89315,South,GEN,72.4,DMK,79699,87.41,True
223,Alangulam,AIADMK,74153,South,GEN,77.4,DMK,69170,90.26,True
224,Tirunelveli,BJP,92282,South,GEN,66.91,TVK,75840,74.87,True
225,Ambasamudram,AIADMK,85211,South,GEN,72.03,AIADMK,65589,84.56,False
226,Palayamcottai,DMK,89117,South,GEN,57.76,DMK,79744,69.38,False
227,Nanguneri,INC,75902,South,GEN,68.59,TVK,74952,80.98,True
228,Radhapuram,DMK,82331,South,GEN,68.08,TVK,69947,82.05,True
229,Kanniyakumari,AIADMK,109745,South,GEN,75.19,AIADMK,75045,87.64,False
230,Nagercoil,BJP,88804,South,GEN,67.06,DMK,69880,80.43,True
231,Colachel,INC,90681,South,GEN,67.27,INC,66207,79.96,False
232,Padmanabhapuram,DMK,87744,South,GEN,70.08,CPIM,68938,80.39,True
233,Vilavancode,INC,87473,South,GEN,66.83,INC,70755,80.21,False
234,Killiyoor,INC,101541,South,GEN,65.87,INC,66434,79.16,False
